instant	dteday	season	yr	mnth	holiday	weekday	workingday	weathersit	temp	atemp	hum	windspeed	casual	registered	cnt
1	01/01/2011	1	0	1	0	6	0	2	344167	363625	805833	160446	331	654	985
2	02/01/2011	1	0	1	0	0	0	2	363478	353739	696087	248539	131	670	801
3	03/01/2011	1	0	1	0	1	1	1	196364	189405	437273	248309	120	1229	1349
4	04/01/2011	1	0	1	0	2	1	1	2	212122	590435	160296	108	1454	1562
5	05/01/2011	1	0	1	0	3	1	1	226957	22927	436957	1869	82	1518	1600
6	06/01/2011	1	0	1	0	4	1	1	204348	233209	518261	895652	88	1518	1606
7	07/01/2011	1	0	1	0	5	1	2	196522	208839	498696	168726	148	1362	1510
8	08/01/2011	1	0	1	0	6	0	2	165	162254	535833	266804	68	891	959
9	09/01/2011	1	0	1	0	0	0	1	138333	116175	434167	36195	54	768	822
10	10/01/2011	1	0	1	0	1	1	1	150833	150888	482917	223267	41	1280	1321
11	11/01/2011	1	0	1	0	2	1	2	169091	191464	686364	122132	43	1220	1263
12	12/01/2011	1	0	1	0	3	1	1	172727	160473	599545	304627	25	1137	1162
13	13/01/2011	1	0	1	0	4	1	1	165	150883	470417	301	38	1368	1406
14	14/01/2011	1	0	1	0	5	1	1	16087	188413	537826	126548	54	1367	1421
15	15/01/2011	1	0	1	0	6	0	2	233333	248112	49875	157963	222	1026	1248
16	16/01/2011	1	0	1	0	0	0	1	231667	234217	48375	188433	251	953	1204
17	17/01/2011	1	0	1	1	1	0	2	175833	176771	5375	194017	117	883	1000
18	18/01/2011	1	0	1	0	2	1	2	216667	232333	861667	146775	9	674	683
19	19/01/2011	1	0	1	0	3	1	2	292174	298422	741739	208317	78	1572	1650
20	20/01/2011	1	0	1	0	4	1	2	261667	25505	538333	195904	83	1844	1927
21	21/01/2011	1	0	1	0	5	1	1	1775	157833	457083	353242	75	1468	1543
22	22/01/2011	1	0	1	0	6	0	1	591304	790696	4	17197	93	888	981
23	23/01/2011	1	0	1	0	0	0	1	965217	988391	436522	2466	150	836	986
24	24/01/2011	1	0	1	0	1	1	1	973913	11793	491739	15833	86	1330	1416
25	25/01/2011	1	0	1	0	2	1	2	223478	234526	616957	129796	186	1799	1985
26	26/01/2011	1	0	1	0	3	1	3	2175	2036	8625	29385	34	472	506
27	27/01/2011	1	0	1	0	4	1	1	195	2197	6875	113837	15	416	431
28	28/01/2011	1	0	1	0	5	1	2	203478	223317	793043	1233	38	1129	1167
29	29/01/2011	1	0	1	0	6	0	1	196522	212126	651739	145365	123	975	1098
30	30/01/2011	1	0	1	0	0	0	1	216522	250322	722174	739826	140	956	1096
31	31/01/2011	1	0	1	0	1	1	2	180833	18625	60375	187192	42	1459	1501
32	01/02/2011	1	0	2	0	2	1	2	192174	23453	829565	53213	47	1313	1360
33	02/02/2011	1	0	2	0	3	1	2	26	254417	775417	264308	72	1454	1526
34	03/02/2011	1	0	2	0	4	1	1	186957	177878	437826	277752	61	1489	1550
35	04/02/2011	1	0	2	0	5	1	2	211304	228587	585217	127839	88	1620	1708
36	05/02/2011	1	0	2	0	6	0	2	233333	243058	929167	161079	100	905	1005
37	06/02/2011	1	0	2	0	0	0	1	285833	291671	568333	1418	354	1269	1623
38	07/02/2011	1	0	2	0	1	1	1	271667	303658	738333	454083	120	1592	1712
39	08/02/2011	1	0	2	0	2	1	1	220833	198246	537917	36195	64	1466	1530
40	09/02/2011	1	0	2	0	3	1	2	134783	144283	494783	188839	53	1552	1605
41	10/02/2011	1	0	2	0	4	1	1	144348	149548	437391	221935	47	1491	1538
42	11/02/2011	1	0	2	0	5	1	1	189091	213509	506364	10855	149	1597	1746
43	12/02/2011	1	0	2	0	6	0	1	2225	232954	544167	203367	288	1184	1472
44	13/02/2011	1	0	2	0	0	0	1	316522	324113	457391	260883	397	1192	1589
45	14/02/2011	1	0	2	0	1	1	1	415	39835	375833	417908	208	1705	1913
46	15/02/2011	1	0	2	0	2	1	1	266087	254274	314348	291374	140	1675	1815
47	16/02/2011	1	0	2	0	3	1	1	318261	3162	423478	251791	218	1897	2115
48	17/02/2011	1	0	2	0	4	1	1	435833	428658	505	230104	259	2216	2475
49	18/02/2011	1	0	2	0	5	1	1	521667	511983	516667	264925	579	2348	2927
50	19/02/2011	1	0	2	0	6	0	1	399167	391404	187917	507463	532	1103	1635
51	20/02/2011	1	0	2	0	0	0	1	285217	27733	407826	223235	639	1173	1812
52	21/02/2011	1	0	2	1	1	0	2	303333	284075	605	307846	195	912	1107
53	22/02/2011	1	0	2	0	2	1	1	182222	186033	577778	195683	74	1376	1450
54	23/02/2011	1	0	2	0	3	1	1	221739	245717	423043	94113	139	1778	1917
55	24/02/2011	1	0	2	0	4	1	2	295652	289191	697391	250496	100	1707	1807
56	25/02/2011	1	0	2	0	5	1	2	364348	350461	712174	346539	120	1341	1461
57	26/02/2011	1	0	2	0	6	0	1	2825	282192	537917	186571	424	1545	1969
58	27/02/2011	1	0	2	0	0	0	1	343478	351109	68	125248	694	1708	2402
59	28/02/2011	1	0	2	0	1	1	2	407273	400118	876364	289686	81	1365	1446
60	01/03/2011	1	0	3	0	2	1	1	266667	263879	535	216425	137	1714	1851
61	02/03/2011	1	0	3	0	3	1	1	335	320071	449583	307833	231	1903	2134
62	03/03/2011	1	0	3	0	4	1	1	198333	200133	318333	225754	123	1562	1685
63	04/03/2011	1	0	3	0	5	1	2	261667	255679	610417	203346	214	1730	1944
64	05/03/2011	1	0	3	0	6	0	2	384167	378779	789167	251871	640	1437	2077
65	06/03/2011	1	0	3	0	0	0	2	376522	366252	948261	343287	114	491	605
66	07/03/2011	1	0	3	0	1	1	1	261739	238461	551304	341352	244	1628	1872
67	08/03/2011	1	0	3	0	2	1	1	2925	3024	420833	12065	316	1817	2133
68	09/03/2011	1	0	3	0	3	1	2	295833	286608	775417	22015	191	1700	1891
69	10/03/2011	1	0	3	0	4	1	3	389091	385668	0	261877	46	577	623
70	11/03/2011	1	0	3	0	5	1	2	316522	305	649565	23297	247	1730	1977
71	12/03/2011	1	0	3	0	6	0	1	329167	32575	594583	220775	724	1408	2132
72	13/03/2011	1	0	3	0	0	0	1	384348	380091	527391	270604	982	1435	2417
73	14/03/2011	1	0	3	0	1	1	1	325217	332	496957	136926	359	1687	2046
74	15/03/2011	1	0	3	0	2	1	2	317391	318178	655652	184309	289	1767	2056
75	16/03/2011	1	0	3	0	3	1	2	365217	36693	776522	203117	321	1871	2192
76	17/03/2011	1	0	3	0	4	1	1	415	410333	602917	209579	424	2320	2744
77	18/03/2011	1	0	3	0	5	1	1	54	527009	525217	231017	884	2355	3239
78	19/03/2011	1	0	3	0	6	0	1	4725	466525	379167	368167	1424	1693	3117
